atm_id;bank;lat;lon
434;Alfa-Bank;55.6460367;37.4857457
435;Sber;55.6017076;37.1669572
436;Sber;55.6012007;37.1646497
437;Alfa-Bank;55.718507;37.6766936
438;Sber;55.741541;37.620246
439;Alfa-Bank;55.6125655;37.7199222
440;Sber;55.7615338;37.5838129
441;Sber;55.7119631;37.6574049
442;Alfa-Bank;55.752892;37.5873601
443;Sber;55.6121701;37.7317272
444;Sber;55.6699182;37.4805895
445;Sber;55.8704721;37.661562
446;Alfa-Bank;55.7522868;37.5955692
447;Sber;55.8877234;37.6769884
448;Sber;55.6102395;37.7293407
449;Sber;55.7583013;37.7415481
450;Alfa-Bank;55.8511739;37.5972437
451;Sber;55.7190931;37.8236523
452;Sber;55.6324809;37.5183111
453;Sber;55.6197605;37.7519913
454;Sber;55.6195492;37.7525519
455;Sber;55.6196696;37.7525385
456;Sber;55.6145912;37.748452
457;Sber;55.6198986;37.7189937
458;Sber;55.6258013;37.7353261
459;Sber;55.7465735;37.6836408
460;Sber;55.6536788;37.6480135
461;Sber;55.8011242;37.4782903
462;Sber;55.7236198;37.6105853
463;Alfa-Bank;55.8082148;37.7993906
464;Alfa-Bank;55.7880804;37.7860039
465;Sber;55.6589931;37.4018964
466;Sber;55.70027;37.5801194
467;Sber;55.7000252;37.5795454
468;Sber;55.7413242;37.5316934
469;Sber;55.6536668;37.4072737
470;Sber;55.6755899;37.5057485
471;Alfa-Bank;55.6755856;37.5057403
472;Sber;55.6067543;37.2855271
473;Sber;55.7787621;37.8274986
